NAME,BANNED,SCOPE,ORG,YEAR,GROUPS_NO,GROUPS_MEMS,HIGHER_MEMS,VIO_MEMS,VIO_MEM_DIFF,HIGHER_VIO_MEMS,VIO_FR_CRIME,FR_HOMOCIDES,FR_PROP_CRIME,LOCATION,REGION,LAT,LON,SIZE,ELECT_CAMPAIGN,CRIME_ASS,CRIME_ACTS,VIO_CRIME_ASS,129StGB,INTERNATIONAL_LINKS,BAN_LINK,APABIZ_SOURCES,NOTES,CLASS,VFS1990,VFS1991,VFS1992,VFS1993,VFS1994,VFS1995,VFS1996,VFS1997,VFS1998,VFS1999,VFS2000,VFS2001,VFS2002,VFS2003,VFS2004,VFS2005,VFS2006,VFS2007,VFS2008,VFS2009,VFS2010,VFS2011,VFS2012,VFS2013,VFS2014,VFS2015,VFS2016,VFS2017,VFS2018,VFS2019,VFS2020,VFS2021,VFS2022,FIRST,LAST,BAN_DATE,SHORT_NAME,BAN,VIO_LEVEL,VIO_LEVEL_1stYEAR,VIO_LEVEL_lastYEAR,RMEM_DIFF,HOM,PROP,LINK,NNOV,PARTY,YMON,BAN_LINKS,B_LINKS_AUTO,SPD_BMI,SPD_VFS,PROP_trendline,PROP_trend_diff
Thule-Seminar e.V.,0,national,association,1998,114,53600,1,8200,600,,708,0,6958,Kassel,Hessen,51.3154546,9.4924096,,,,,,,1,None,https://www.apabiz.de/archiv/material/Profile/Thule-Seminar.htm,"started in 1980s, recommenced in 1998, but largely inactive in 1999, started again to publish 'Elemente' in 2000 as well as 'Metapo'; led by Pierre Krebs","Rechtsextremistische Intellektualisierung, Neuen Rechten",,,,,,,,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,,,,,,,,,,,,,,1998-01-01,2010-01-01,,Thule-Seminar,0,708,708,891,600,0,6958,0,0,0,11,None,0,0,1,6388.202,569.79802
Aktionsgemeinschaft nationaler Sozialisten in und ausserhalb der NPD (AgNS),0,national,association,1998,114,53600,1,8200,600,,708,0,6958,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,None,https://www.antifainfoblatt.de/artikel/r%C3%BCckblick-npd-kundgebung-1-mai-1998-leipzig,,neo-Nazi,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,1998-01-01,1999-01-01,,AgNS,0,708,708,708,600,0,6958,0,1,0,1,None,0,0,1,6388.202,569.79802
Heideheim e.V.,1,regional,association,1998,114,53600,1,8200,600,,708,0,6958,"Buchholz, Hamburg",Hamburg,53.9882387,9.2264708,,,,,,,,Leader,,led by Jürgen Rieger; existed since 1991,sonstige rechtsextremistische Gruppen,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-01,1999-01-01,1998-02-11,Heideheim,1,708,790,708,600,0,6958,0.75,1,0,2,Leader,0.75,0,1,6388.202,569.79802
Deutsch-Europäische Studien-Gesellschaft (DESG),0,national,association,1998,134,53600,1,8200,600,,746,0,6719,Hamburg,Hamburg,53.550341,10.000654,,,,,,,,Members,https://www.apabiz.de/archiv/material/Profile/DESG.htm,"founded in 1972, working closely with Synergon since 1997",,,,,,,,,,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,1998-01-01,2003-01-01,,Deutsch-Europäische Studien-Gesellschaft,0,746,746,772,600,0,6719,0.25,0,0,5,Members,0.25,0,1,6388.202,569.79802
Bildungswerk(later 'Bewegung') Deutsche Volksgemeinschaft (BDVG),0,regional,association,1999,134,51400,0,9000,800,,746,1,6719,Dürwiß-Eschweiler,Nordrhein-Westfalen,50.836553,6.2727576,50 (1999),,,,,,,None,,split from NPD,Rechtsextremistische Partei,,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,1999-01-01,2001-01-01,,Bildungswerk Deutsche Volksgemeinschaft,0,746,746,998,800,0,6719,0,0,0,2,None,0,1,1,6758.254,-39.25422
Bund Deutscher Patrioten (BDP),0,regional,association,1999,134,51400,0,9000,800,,746,1,6719,,Thueringen,50.9014721,11.0377839,20 (1999),,,,,,,Members,https://www.sueddeutsche.de/muenchen/rechtsextremismus-und-noch-ein-radikales-netzwerk-1.3464894,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,1999-01-01,2000-01-01,,Bund Deutscher Patrioten,0,746,746,746,800,0,6719,0.25,0,0,1,Members,0.25,1,1,6758.254,-39.25422
Soziale Volkspartei (SVP),0,national,party,1999,134,51400,0,9000,800,,746,1,6719,Rostock,Mecklenburg-Vorpommern,54.0924445,12.1286127,50 (1999),,,,,,,None,https://www.endstation-rechts.de/news/themenwoche-der-lange-weg-ins-parlament-kurze-geschichte-der-npd-m-v,,Rechtsextremistische Partei,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,1999-01-01,2000-01-01,,Soziale Volkspartei,0,746,746,746,800,0,6719,0,0,1,1,None,0,1,1,6758.254,-39.25422
Synergon Deutschland,0,national,association,1999,134,51400,0,9000,800,,746,1,6719,Dresden,Sachsen,51.0493286,13.7381437,,,,,,,,None,,"founded in 1995, since 2000 led by Sven Henkler, working closely with DESG",,,,,,,,,,,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,1999-01-01,2003-01-01,,Synergon Deutschland,0,746,746,772,800,0,6719,0,0,0,4,None,0,1,1,6758.254,-39.25422
Unabhängige Arbeiterpartei e.V. (Deutsche Sozialisten) (UAP),0,regional,party,1999,134,51400,0,9000,800,,746,1,6719,Heinsberg,Nordrhein-Westfalen,51.0654268,6.0984461,120 (1999),,,,,,,None,https://www.apabiz.de/archiv/material/Profile/UAP.htm,,Rechtsextremistische Partei,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,1999-01-01,2000-01-01,,Unabhängige Arbeiterpartei,0,746,746,746,800,0,6719,0,0,1,1,None,0,1,1,6758.254,-39.25422
Vereinigte Rechte (VR),0,national,party,1999,134,51400,0,9000,800,,746,1,6719,Stuttgart,Baden-Württemberg,48.7784485,9.1800132,50 (1999),,,,,,,None,,"founded 1997, dissolved itself in 2001",Rechtsextremistische Partei,,,,,,,,,,YES,YES,YES,,,YES,,,,,,,,,,,,,,,,,,,1999-01-01,2005-01-01,,Vereinigte Rechte,0,746,746,776,800,0,6719,0,0,1,4,None,0,1,1,6758.254,-39.25422
Kameradschaft Karlsruhe,0,regional,association,1999,134,51400,0,9000,800,,746,1,6719,Karlsruhe,Baden-Württemberg,49.0068705,8.4034195,,,,,,,,Members,https://ka.stadtwiki.net/Kameradschaft_Karlsruhe,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,1999-01-01,2000-01-01,,Kameradschaft Karlsruhe,0,746,746,746,800,0,6719,0.25,1,0,1,Members,0.25,1,1,6758.254,-39.25422
Nationales und Soziales Aktionsbündnis Norddeutschland (NSAN),0,regional,association,1999,134,51400,0,9000,800,,746,1,6719,Hamburg,"Hamburg, Bremen, Niedersachsen, Schleswig-Holstein",53.550341,10.000654,,,,,,,,Members,,one of the Freie Nationalisten groups; founded 1997,neo-Nazi,,,,,,,,,,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,1999-01-01,2005-01-01,,NSAN,0,746,746,776,800,0,6719,0.25,1,0,6,Members,0.25,1,1,6758.254,-39.25422
Kampfbund Deutscher Sozialisten (KDS),0,regional,association,1999,134,51400,0,9000,800,,746,1,6719,Neumünster,"Schleswig-Holstein, Brandenburg, Bayern",54.0757442,9.9815377,"50 (2002), 30 (1999)",,,,,,,Leader,https://taz.de/!1280392/,"led by Thomas Brehl and Michael Koth, extreme right and left forum; dissolved in 2008",neo-Nazi,,,,,,,,,,YES,YES,,YES,YES,,,,,,,,,,,,,,,,,,,,1999-01-01,2004-01-01,,Kampfbund Deutscher Sozialisten,0,746,746,759,800,0,6719,0.75,1,0,4,Leader,0.75,1,1,6758.254,-39.25422
Ab jetzt… Bündnis für Deutschland,0,national,party,1999,134,51400,0,9000,800,,746,1,6719,Siegburg,Nordrhein-Westfalen,50.7928332,7.2070774,150 (1999),,,,,,,None,,"led by Helmut Fleck, founded 1997, not so active in/from 2001",Rechtsextremistische Partei,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,1999-01-01,2002-01-01,,Ab jetzt… Bündnis für Deutschland,0,746,746,709,800,0,6719,0,0,1,3,None,0,1,1,6758.254,-39.25422
Bund für Gesamtdeutschland (BGD),0,national,party,1999,134,51400,0,9000,800,,746,1,6719,Düsseldorf,Nordrhein-Westfalen,51.2254018,6.7763137,150 (2000),,,,,,,None,,"led by Horst Zaborowski, founded 1990, not so active in/from 2001, close to 'Ab jetzt… Buendnis fuer Deutschland'",Rechtsextremistische Partei,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,1999-01-01,2002-01-01,,Bund für Gesamtdeutschland,0,746,746,709,800,0,6719,0,0,1,3,None,0,1,1,6758.254,-39.25422
Aktionsbüro Norddeutschland,0,national,association,2000,143,50900,0,9700,700,,998,2,10435,Norderstedt,Schleswig-Holstein,53.7089898,9.9891914,,,,,,,,Both,,coordinating body of the NSAN; led by Jürgen Rieger,neo-Nazi,,,,,,,,,,,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,2000-01-01,2005-01-01,,Aktionsbüro Norddeutschland,0,998,998,776,700,1,10435,1,1,0,5,Both,1,1,1,7128.306,3306.69355
Anti-Antifa Saarpfalz,0,regional,association,2000,143,50900,0,9700,700,,998,2,10435,Saarpfalz,Saarland,49.2613761,7.1982316,,,,,,,,None,https://www.antifainfoblatt.de/artikel/werwolf-waffen-werthebach-wer-ist-die-anti-antifa,previously 'Anti-Antifa Kurpfalz',,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2001-01-01,,Anti-Antifa Saarpfalz,0,998,998,998,700,1,10435,0,1,0,1,None,0,1,1,7128.306,3306.69355
Arischen Bruderschaft 2000,0,regional,association,2000,143,50900,0,9700,700,,998,2,10435,,,,,,,,,,,,None,,,Gewaltbereit,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2001-01-01,,Arischen Bruderschaft 2000,0,998,998,998,700,1,10435,0,1,0,1,None,0,1,1,7128.306,3306.69355
Arischer Kämpferbund,0,regional,association,2000,143,50900,0,9700,700,,998,2,10435,,,,,,,,,,,,None,https://www.nsu-watch.info/2014/11/protokoll-161-verhandlungstag-19-november-2014/,,Gewaltbereit,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2001-01-01,,Arischer Kämpferbund,0,998,998,998,700,1,10435,0,1,0,1,None,0,1,1,7128.306,3306.69355
Bund Freier Bürger (BFB),0,national,association,2000,143,50900,0,9700,700,,998,2,10435,Wiesbaden,Hessen,50.0820384,8.2416556,1000,,,,,,,None,https://www.apabiz.de/archiv/material/Profile/BFB.htm,cooperated with REP,Rechtsextremistische Partei,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2001-01-01,,Bund Freier Bürger,0,998,998,998,700,1,10435,0,0,0,1,None,0,1,1,7128.306,3306.69355
Freiheitliche Deutsche Volkspartei (FDVP),0,national,party,2000,143,50900,0,9700,700,,998,2,10435,Magdeburg,Sachsen-Anhalt,52.1315889,11.6399609,200 (2000),,,,,,,None,,split from DVU in 2000,Rechtsextremistische Partei,,,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2002-01-01,,Freiheitliche Deutsche Volkspartei,0,998,998,709,700,1,10435,0,0,1,2,None,0,1,1,7128.306,3306.69355
"Initiative für Versammlungsfreiheit (coalition by Nationales und Soziales Aktionsbuendnis Norddeutschland, connected to RPF)",0,regional,association,2000,143,50900,0,9700,700,,998,2,10435,Wismar,Mecklenburg-Vorpommern,53.8909832,11.4647932,,,,,,,,Leader,,"led by Thomas Wulff, connected to RPF",neo-Nazi,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2001-01-01,,Initiative für Versammlungsfreiheit,0,998,998,998,700,1,10435,0.75,1,0,1,Leader,0.75,1,1,7128.306,3306.69355
Initiative gegen Drogenfreigabe (coalition by Nationales und Soziales Aktionsbuendnis Norddeutschland),0,regional,association,2000,143,50900,0,9700,700,,998,2,10435,Quickborn,Schleswig-Holstein,54.0111091,9.2114907,,,,,,,,Leader,,led by Thomas Wulff,neo-Nazi,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2001-01-01,,Initiative gegen Drogenfreigabe,0,998,998,998,700,1,10435,0.75,1,0,1,Leader,0.75,1,1,7128.306,3306.69355
Initiative Volksaufklärung (coalition by Nationales und Soziales Aktionsbündnis Norddeutschland),0,regional,association,2000,143,50900,0,9700,700,,998,2,10435,Usedom,Mecklenburg-Vorpommern,53.9905064,14.0829451,,,,,,,,Leader,,led by Thomas Wulff,neo-Nazi,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2001-01-01,,Initiative Volksaufklärung,0,998,998,998,700,1,10435,0.75,1,0,1,Leader,0.75,1,1,7128.306,3306.69355
Kameradschaft Gera,0,regional,association,2000,143,50900,0,9700,700,,998,2,10435,Gera,Thueringen,50.8772301,12.0796208,,,,,,,,None,https://thueringenrechtsaussen.wordpress.com/2014/06/12/die-rechte-in-thuringen-oder-krautheims-one-man-show/ // https://de.wikipedia.org/wiki/Nationales_und_Soziales_Aktionsb%C3%BCndnis_Mitteldeutschland,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,2001-01-01,,Kameradschaft Gera,0,998,998,998,700,1,10435,0,1,0,1,None,0,1,1,7128.306,3306.69355
Revolutionäre Plattform - Aufbruch 2000 (RPF),0,regional,association,2000,143,50900,0,9700,700,,998,2,10435,,Sachsen-Anhalt,52.0089065,11.7003344,,,,,,,,Leader,,led by Steffen Hupka,neo-Nazi,,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,2000-01-01,2003-01-01,,Revolutionäre Plattform - Aufbruch 2000,0,998,998,772,700,1,10435,0.75,1,0,3,Leader,0.75,1,1,7128.306,3306.69355
Blood & Honour Division Deutschland (and its youth organisation White Youth),1,national,association,2000,143,50900,0,9700,700,,998,2,10435,Berlin,Berlin,52.5170365,13.3888599,"200 (2000), 240 (1999)",,,,,,1,Members,,,"Gewaltbereite Jugend, Skinheads",,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,yes,yes,yes,yes,,,,yes,yes,,,YES,YES,1996-01-01,2001-01-01,2000-09-14,Blood & Honour Division Deutschland,1,998,781,998,700,1,10435,0.25,1,0,16,Members,0.25,1,1,7128.306,3306.69355
Hamburger Sturm,1,regional,association,2000,143,50900,0,9700,700,,998,2,10435,Hamburg,Hamburg,53.550341,10.000654,,,,,,,,Both,https://taz.de/Der-Hamburger-Sturm/!1217964/,,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,1998-01-01,2001-01-01,2000-08-11,Hamburger Sturm,1,998,708,998,700,1,10435,1,1,0,3,Both,1,1,1,7128.306,3306.69355
Nationaler Widerstand Hagen/Lüdenscheid,0,regional,association,2001,141,49700,0,10400,700,,709,0,6336,"Hagen, Luedenscheid",Nordrhein-Westfalen,51.3582945,7.473296,,,,,,,,None,https://www.nadir.org/nadir/aktuell/2002/01/05/7999.html,"Axel Schoppmann, René Gehrke und Maik Müller",,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,2001-01-01,2002-01-01,,Nationaler Widerstand Hagen/Lüdenscheid,0,709,709,709,700,1,6336,0,1,0,1,None,0,1,1,7498.359,-1162.35869
Nationales und Soziales Aktionsbündnis Westthüringen (NSAW),0,regional,association,2001,141,49700,0,10400,700,,709,0,6336,Gotha,Thueringen,50.9494849,10.7014435,,,,,,,,Members,https://de.wikipedia.org/wiki/Nationales_und_Soziales_Aktionsb%C3%BCndnis_Mitteldeutschland,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,2001-01-01,2002-01-01,,NSAW,0,709,709,709,700,1,6336,0.25,1,0,1,Members,0.25,1,1,7498.359,-1162.35869
Kameradschaft 73 Celle,0,regional,association,2001,141,49700,0,10400,700,,709,0,6336,Celle,Niedersachsen,52.624056,10.081052,,,,,,,,None,https://www.cz.de/Celle/Aus-der-Stadt/Celle-Stadt/Celler-Neonazis-zersplittern-Kameradschaft-73-loest-sich-auf,Dennis Bührig,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,2001-01-01,2002-01-01,,Kameradschaft 73 Celle,0,709,709,709,700,1,6336,0,1,0,1,None,0,1,1,7498.359,-1162.35869
Friedenskomitee 2000/Deutschland-Bewegung,0,national,party,2001,141,49700,0,10400,700,,709,0,6336,Starnberg,Bayern,48.0001038,11.3508972,,,,,,,,None,,led by Dr. Alfred Mechtersheimer,Rechtsextremistische Partei,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,2001-01-01,2002-01-01,,Friedenskomitee 2000,0,709,709,709,700,1,6336,0,0,1,1,None,0,1,1,7498.359,-1162.35869
Deutsche Aufbau-Organisation (DAO),0,national,party,2001,141,49700,0,10400,700,,709,0,6336,Starnberg,Bayern,48.0001038,11.3508972,,,,,,,,None,,led by Dr. Alfred Mechtersheimer,Rechtsextremistische Partei,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,2001-01-01,2002-01-01,,Deutsche Aufbau-Organisation,0,709,709,709,700,1,6336,0,0,1,1,None,0,1,1,7498.359,-1162.35869
Skinheads Sächsische Schweiz (SSS),1,regional,association,2001,141,49700,0,10400,700,,709,0,6336,Dresden,Sachsen,51.0493286,13.7381437,,,YES,Bildung einer kriminellen Vereinigung,,YES (2003),,None,,founded 1996,"Gewaltbereit, Skinheads",,,,,,,,,,,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,2000-01-01,2002-01-01,2001-04-05,Skinheads Sächsische Schweiz,1,709,709,998,700,1,6336,0,1,0,4,None,0,1,1,7498.359,-1162.35869
Aktionsbüro Mitte,0,regional,association,2002,146,45000,0,10700,300,,772,0,7294,Dessau,"Sachsen, Sachsen-Anhalt",51.8309956,12.2430723,,,,,,,,None,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,2002-01-01,2003-01-01,,Aktionsbüro Mitte,0,772,772,772,300,0,7294,0,1,0,1,None,0,1,1,7868.411,-574.41092
Aktionsbüro Mitteldeutschland,0,regional,association,2002,146,45000,0,10700,300,,772,0,7294,Berlin,"Brandenburg, Berlin",52.5170365,13.3888599,,,,,,,,None,,,,,,,,,,,,,,,,YES,,YES,,,,,,,,,,,,,,,,,,,2002-01-01,2005-01-01,,Aktionsbüro Mitteldeutschland,0,772,772,776,300,0,7294,0,1,0,2,None,0,1,1,7868.411,-574.41092
Bürgerinitiative Ausländerstopp,0,regional,association,2002,146,45000,0,10700,300,,772,0,7294,Nürnberg,Bayern,49.453872,11.077298,,YES (2008),,,,,,None,,led by NPD activist Gerd Ittner; 2008 election stand-in for NPD in Munich and Nuremberg,Rechtsextremistische Partei,,,,,,,,,,,,,YES,,,,,,YES,,,,,,,,,,,,,,,2002-01-01,2009-01-01,,Bürgerinitiative Ausländerstopp,0,772,772,1042,300,0,7294,0,0,1,2,None,0,1,1,7868.411,-574.41092
Deutsche Partei (DP),0,national,party,2002,146,45000,0,10700,300,,772,0,7294,Bröckel,Niedersachsen,52.5182679,10.2161826,,,,,,,,None,https://www.apabiz.de/archiv/material/Profile/DP.htm,,Rechtsextremistische Partei,,,,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,,2002-01-01,2005-01-01,,Deutsche Partei,0,772,772,776,300,0,7294,0,0,1,3,None,0,1,1,7868.411,-574.41092
Freiheitlich-Unabhängig-National (FUN-Partei),0,national,party,2002,146,45000,0,10700,300,,772,0,7294,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,None,https://de.wikipedia.org/wiki/Dol2day,online mainly,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,2002-01-01,2003-01-01,,Freiheitlich-Unabhängig-National,0,772,772,772,300,0,7294,0,0,1,1,None,0,1,1,7868.411,-574.41092
Gemeinschaft Deutscher Frauen (GDF),0,regional,association,2002,146,45000,0,10700,300,,772,0,7294,Grevesmühlen,Mecklenburg-Vorpommern,53.8644705,11.1898839,,,,,,,,None,,"founded 2000, from SFD","Gewaltbereite, Skinheads",,,,,,,,,,,,,YES,,,,YES,,,,,,,,,,,,,,,,,2002-01-01,2007-01-01,,Gemeinschaft Deutscher Frauen,0,772,772,1047,300,0,7294,0,0,0,2,None,0,1,1,7868.411,-574.41092
Junge Landsmannschaft Ostpreussen (JLO) later Ostdeutschland,0,regional,association,2002,146,45000,0,10700,300,,772,0,7294,Hamburg,Hamburg,53.550341,10.000654,,,,,,,,None,https://de.wikipedia.org/wiki/Junge_Landsmannschaft_Ostdeutschland,"Dresden Trauermarsch organiser, Christian Schaar",Rechtsextremistische,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,2002-01-01,2012-01-01,,Junge Landsmannschaft Ostpreussen,0,772,772,755,300,0,7294,0,1,0,10,None,0,1,1,7868.411,-574.41092
Nationale Liga Deutschlands (NLD),0,national,association,2002,146,45000,0,10700,300,,772,0,7294,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,None,https://de.wikipedia.org/wiki/Dol2day,online mainly,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,2002-01-01,2003-01-01,,Nationale Liga Deutschlands,0,772,772,772,300,0,7294,0,0,0,1,None,0,1,1,7868.411,-574.41092
Widerstandsbüro,0,regional,association,2002,146,45000,0,10700,300,,772,0,7294,,Nordrhein-Westfalen,51.4270401,7.580397606,,,,,,,,None,https://rp-online.de/nrw/staedte/duesseldorf/neonazi-propaganda-schon-aus-dem-kinderzimmer_aid-13749649,led by Sven S,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,2002-01-01,2003-01-01,,Widerstandsbüro,0,772,772,772,300,0,7294,0,1,0,1,None,0,1,1,7868.411,-574.41092
Aktionsbüro Süd,0,regional,association,2003,169,41500,0,10000,-700,,759,0,7551,Nürnberg,Bayern,49.453872,11.077298,,,"YES (VfS 2003, p32-33)",,YES,,,Members,https://de.wikipedia.org/wiki/Norman_Bordin,founded by Norman Bordin,"Gewaltbereite, Skinheads",,,,,,,,,,,,,,YES,,,YES,,,,,,,,,,,,,,,,,2003-01-01,2007-01-01,,Aktionsbüro Süd,0,759,759,1047,-700,0,7551,0.25,1,0,2,Members,0.25,1,1,8238.463,-687.46316
Deutsche Liste für Europa (DLFE),0,national,party,2003,169,41500,0,10000,-700,,759,0,7551,Leipzig,Sachsen,51.3406321,12.3747329,,,,,,,,None,p122: https://linksunten.mirrors.autistici.org/system/files/data/2015/11/8181094875.pdf,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,2003-01-01,2004-01-01,,Deutsche Liste für Europa,0,759,759,759,-700,0,7551,0,0,1,1,None,0,1,1,8238.463,-687.46316
Freiheitliche Initiative Deutschlands (FID),0,national,association,2003,169,41500,0,10000,-700,,759,0,7551,Nürnberg,Bayern,49.453872,11.077298,,,,,,,,None,,disaffected from REP,Rechtsextremistische Partei,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,2003-01-01,2004-01-01,,Freiheitliche Initiative Deutschlands,0,759,759,759,-700,0,7551,0,0,0,1,None,0,1,1,8238.463,-687.46316
Furchtlos und Treu (F+T),0,national,association,2003,169,41500,0,10000,-700,,759,0,7551,Stuttgart,Baden-Württemberg,48.7784485,9.1800132,,,,,,,1,None,,"founded in 1999, inactive as of 2005","Gewaltbereite, Skinheads",,,,,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,2003-01-01,2006-01-01,,Furchtlos und Treu,0,759,759,958,-700,0,7551,0,1,0,3,None,0,1,1,8238.463,-687.46316
Kameradschaft Kitzingen/Würzburg,0,regional,association,2003,169,41500,0,10000,-700,,759,0,7551,Kitzingen,Bayern,49.7339751,10.161216,,,,,,,,None,https://www.infranken.de/lk/kitzingen/kitzinger-gedenken-der-opfer-von-gewaltherrschaft-art-3857275,,neo-Nazi,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,2003-01-01,2004-01-01,,Kameradschaft Kitzingen/Würzburg,0,759,759,759,-700,0,7551,0,1,0,1,None,0,1,1,8238.463,-687.46316
Kameradschaft Süd,0,regional,association,2003,169,41500,0,10000,-700,,759,0,7551,München,Bayern,48.1371079,11.5753822,,,"YES (VfS 2003, p25,32-33) (VfS2004, p33) (VfS2005, p51)",Bildung einer terroristischen Vereinigung; explosive attack planning on Jewish centre in Munich,YES,YES (2005),,Leader,,led by Martin Wiese,"Gewaltbereite, Skinheads",,,,,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,2003-01-01,2006-01-01,2003-09-11,Kameradschaft Süd,1,759,759,958,-700,0,7551,0.75,1,0,3,Leader,0.75,1,1,8238.463,-687.46316
Kameradschaft Sturmfront,0,regional,association,2003,169,41500,0,10000,-700,,759,0,7551,Karlsruhe,Baden-Württemberg,49.0068705,8.4034195,,,,,,,,None,,,neo-Nazi,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,2003-01-01,2004-01-01,,Kameradschaft Sturmfront,0,759,759,759,-700,0,7551,0,1,0,1,None,0,1,1,8238.463,-687.46316
Nationales Bündnis Dresden (NBD),0,regional,party,2003,169,41500,0,10000,-700,,759,0,7551,Dresden,Sachsen,51.0493286,13.7381437,,,,,,,,Members,,composed of Freie Nationalisten; an election coalition; connected to NPD,Rechtsextremistische Partei,,,,,,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,2003-01-01,2005-01-01,,Nationales Bündnis Dresden,0,759,759,776,-700,0,7551,0.25,0,1,2,Members,0.25,1,1,8238.463,-687.46316
Revolutionäre Anti-Antifa-Zelle (RAAZ),0,regional,association,2003,169,41500,0,10000,-700,,759,0,7551,,Rheinland-Pfalz,49.9531599,7.310646,,,,,,,,None,,declared founding in 2003 in publication 'Brauner Partisan - Stimme der braunen autonomen Untergrundbewegung',neo-Nazi,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,2003-01-01,2004-01-01,,Revolutionäre Anti-Antifa-Zelle,0,759,759,759,-700,0,7551,0,1,0,1,None,0,1,1,8238.463,-687.46316
Bündnis nationaler Sozialisten für Lübeck,1,regional,association,2003,169,41500,0,10000,-700,,759,0,7551,Lübeck,﻿Schleswig-Holstein,53.866444,10.684738,,,,,,,,None,https://taz.de/Neonazi-Wahlbuendnis-fuer-Luebeck-verboten/!803935/,led by Jürgen Gerg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-03-07,Bündnis nationaler Sozialisten für Lübeck,1,759,759,759,-700,0,7551,0,1,0,0,None,0,1,1,8238.463,-687.46316
Deutsche Soziale Union (DSU),0,national,party,2004,168,40700,0,10000,0,,776,0,8337,Leipzig,Sachsen,51.3406321,12.3747329,,,,,,,,None,https://www.apabiz.de/archiv/material/Profile/DSU-2.htm,,Rechtsextremistische Partei,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,2004-01-01,2005-01-01,,Deutsche Soziale Union,0,776,776,776,0,0,8337,0,0,1,1,None,0,1,1,8608.515,-271.5154
